1, 500, 65.0, 0.0, 65.0, 0.0, 'X2RELO', 593, 806, 28, 127, 214, 16, 2, 11, 14, 17
1, 500, 36.0, 0.0, 36.0, 0.0, 'UPPGAH', 602, 786, 38, 140, 217, 24, 1, 15, 18, 9
1, 500, 47.0, 0.0, 47.0, 0.0, 'DV2ATB', 601, 801, 35, 159, 180, 21, 2, 19, 19, 21
1, 500, 16.0, 0.0, 16.0, 0.0, '670DXI', 595, 774, 36, 149, 196, 23, 8, 17, 28, 22
1, 500, 19.0, 0.0, 19.0, 0.0, 'HLC1X4', 612, 792, 39, 148, 189, 18, 3, 13, 29, 6
1, 500, 27.0, 0.0, 27.0, 0.0, '3KPF6A', 589, 788, 33, 150, 205, 19, 1, 15, 22, 12
1, 500, 36.0, 0.0, 36.0, 0.0, 'YYNOC5', 600, 784, 29, 150, 205, 21, 4, 23, 31, 1
1, 500, 23.0, 0.0, 23.0, 0.0, 'IAYW4B', 593, 807, 40, 137, 213, 31, 6, 17, 47, 12
1, 500, 14.0, 0.0, 14.0, 0.0, 'IHYNCT', 597, 796, 42, 149, 202, 21, 6, 23, 25, 16
1, 500, 17.0, 0.0, 17.0, 0.0, 'AISFRD', 609, 820, 51, 133, 213, 20, 1, 15, 20, 2
1, 500, 15.0, 0.0, 15.0, 0.0, 'L72637', 598, 783, 34, 145, 212, 24, 1, 13, 15, 25
1, 500, 23.0, 0.0, 23.0, 0.0, 'R9CPH5', 602, 793, 44, 117, 199, 19, 7, 19, 37, 18
1, 500, 61.0, 0.0, 61.0, 0.0, '6EK2SC', 614, 783, 39, 135, 205, 16, 5, 10, 36, 1
1, 500, 25.0, 0.0, 25.0, 0.0, 'MX65BR', 606, 814, 32, 137, 201, 5, 1, 24, 21, 10
1, 500, 8.0, 0.0, 8.0, 0.0, 'QHJDY7', 589, 785, 42, 144, 223, 21, 6, 2, 27, 13
1, 500, 16.0, 0.0, 16.0, 0.0, 'VDQ2D9', 613, 847, 42, 151, 190, 22, 1, 17, 36, 7
1, 500, 20.0, 0.0, 20.0, 0.0, 'A1VCBE', 593, 792, 40, 137, 217, 19, 3, 22, 29, 1
