rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
66,678.8,747.0,6.5,137,77.5,129.4,0.0,1,353.0,1065.0,10.0
70,689.9,747.5,6.8,70,86.3,130.0,0.0,1,718.0,1065.0,10.0
87,612.0,750.8,6.8,53,95.6,129.2,0.0,2,533.1,1064.9,10.1
92,591.4,751.2,6.6,36,102.5,129.3,0.1,2,879.6,1064.9,10.1
93,578.0,751.6,6.6,41,99.6,128.5,0.7,2,1161.9,1064.9,10.1
93,576.7,751.9,6.6,46,97.0,128.6,0.9,4,489.9,1065.0,10.3
92,565.1,752.3,6.5,47,94.6,129.3,1.1,4,879.5,1065.0,10.3
91,561.4,752.5,6.4,56,91.5,129.9,1.2,6,632.9,1065.3,10.5
89,565.9,752.5,6.4,66,91.1,130.2,1.2,7,605.4,1065.3,10.5
86,564.1,753.1,6.4,74,91.4,130.3,1.0,8,667.7,1065.2,10.6
87,552.8,752.7,6.4,80,92.8,130.7,1.1,9,652.6,1065.0,10.6
84,554.0,753.1,6.4,85,98.3,130.7,1.0,9,771.8,1065.0,10.6
85,546.4,753.3,6.4,89,98.8,130.5,1.2,11,636.5,1064.9,10.7
84,548.5,753.4,6.4,87,101.9,130.7,1.3,11,704.9,1064.9,10.7
82,549.5,753.2,6.4,100,95.5,130.3,1.5,13,638.2,1065.1,10.9
78,560.7,754.2,6.4,105,94.0,129.7,1.7,17,491.4,1065.0,10.8
73,550.9,755.4,6.4,103,97.5,129.6,1.9,17,644.4,1065.0,10.8
71,556.8,755.5,6.5,113,96.6,129.9,1.9,18,641.5,1065.1,10.9
75,546.4,755.8,6.5,107,102.1,130.1,1.7,21,541.1,1065.1,10.9
74,538.3,756.6,6.8,116,104.7,129.6,1.7,22,565.2,1065.0,10.9
75,544.5,756.2,6.7,126,105.1,129.7,1.5,22,566.1,1065.0,10.9
69,543.0,755.6,6.5,138,101.6,129.3,1.7,24,587.1,1064.8,10.9
64,557.1,755.7,6.5,139,101.1,128.9,1.8,28,518.4,1065.0,10.9
58,572.5,756.3,6.4,140,101.4,128.8,1.7,28,581.8,1065.0,10.9
58,579.4,756.6,6.4,143,104.6,129.9,1.7,28,598.1,1065.0,10.9
55,574.4,757.1,6.3,163,103.0,129.9,1.7,29,614.6,1064.9,10.9
56,566.8,756.5,6.1,165,108.1,129.9,1.8,31,578.2,1064.9,10.9
54,564.3,755.8,6.3,180,110.7,130.7,1.7,31,619.8,1064.9,10.9
52,568.0,755.4,6.4,190,110.4,130.7,1.8,33,590.3,1064.8,10.9
50,568.1,754.9,6.6,208,111.2,130.3,1.9,35,572.3,1064.8,10.9
45,579.1,754.7,6.5,208,117.5,130.4,2.0,36,590.7,1064.9,10.9
48,561.3,754.6,6.8,220,119.9,130.6,2.1,39,528.7,1064.9,10.9
43,564.7,754.7,6.6,237,120.4,130.0,2.1,39,568.5,1064.9,10.9
43,537.7,755.3,6.7,254,122.5,129.7,2.1,40,584.0,1064.9,10.9
39,551.5,756.2,6.7,272,125.0,130.0,2.2,45,513.5,1064.9,10.9
34,551.9,757.5,6.7,287,127.9,130.2,2.2,46,524.9,1064.9,10.9
29,545.0,757.4,6.8,303,131.6,130.3,2.2,47,538.4,1064.8,10.9
25,523.5,756.8,6.3,319,134.8,130.4,2.3,48,552.9,1064.8,10.9
23,513.1,756.8,6.3,334,138.2,130.3,2.4,50,532.8,1064.8,10.8
20,525.9,756.8,6.3,348,143.6,130.2,2.4,51,524.1,1064.8,10.8
21,525.6,755.9,6.3,363,148.1,130.1,2.4,51,516.3,1064.8,10.8
21,535.4,755.9,6.3,379,153.0,130.0,2.5,51,508.9,1064.8,10.8
20,580.6,756.3,5.8,394,156.1,130.2,2.6,51,501.5,1064.8,10.8
19,597.3,757.3,5.9,407,159.1,130.4,2.6,51,501.5,1064.8,10.8
23,555.7,757.8,5.7,432,159.5,130.4,2.8,51,494.3,1064.8,10.8
21,588.2,757.9,5.8,443,163.3,130.4,2.8,51,501.0,1064.8,10.8
19,582.0,756.4,5.9,461,165.5,130.5,2.9,51,513.2,1064.8,10.8
16,617.1,757.7,6.1,479,167.9,130.5,3.0,52,509.6,1064.8,10.8
19,571.6,760.2,5.9,508,167.8,130.4,3.1,52,502.3,1064.8,10.8
17,633.5,760.4,5.8,522,169.7,130.2,3.2,52,507.3,1064.8,10.8
19,575.2,760.2,5.5,540,173.1,130.4,3.2,54,485.5,1064.8,10.8
15,617.8,761.3,5.7,558,175.6,130.5,3.3,55,488.0,1064.7,10.9
18,578.3,763.4,5.6,583,177.6,130.5,3.4,55,481.2,1064.7,10.9
21,576.1,764.6,5.5,603,180.4,130.5,3.5,55,474.4,1064.7,10.9
25,560.7,766.3,5.5,612,186.2,130.5,3.5,55,467.5,1064.7,10.9
28,566.8,766.3,5.5,616,191.1,130.6,3.5,55,467.7,1064.7,10.9
27,604.7,765.9,5.6,624,194.8,130.6,3.6,56,464.8,1064.7,10.9
28,556.6,766.9,5.6,645,196.8,130.6,3.6,57,471.3,1064.8,10.9
22,580.2,765.5,5.6,656,199.8,130.6,3.7,58,490.8,1064.7,10.9
22,593.1,765.4,5.6,670,203.1,130.7,3.7,60,473.8,1064.8,10.9
25,561.5,766.0,5.5,688,206.8,130.7,3.8,60,472.7,1064.8,10.9
25,545.0,766.4,5.5,705,208.9,130.8,3.8,60,494.7,1064.8,10.9
28,541.2,766.8,5.5,714,212.8,131.0,3.8,60,497.9,1064.8,10.8
