wolfCount,wolfEnergy,wolfRepro,wolfFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue
6,222.8,580.4,19.4,63,95.9,128.2,1.5,83,73.2,168.3,7.0
6,211.4,580.4,19.4,69,91.9,127.9,1.9,83,74.1,168.5,6.9
6,215.5,580.4,19.4,66,87.9,126.8,1.9,85,76.5,168.6,6.8
6,223.1,580.4,19.4,70,92.1,127.3,1.8,82,75.9,169.4,6.6
6,233.3,580.4,19.4,70,96.7,128.1,1.4,79,81.5,168.6,6.5
6,213.8,580.4,19.4,59,104.6,129.1,1.1,84,81.9,168.4,6.6
6,219.7,580.4,19.4,57,96.9,128.3,1.2,88,81.9,167.8,6.7
6,244.0,580.4,19.4,47,98.2,129.3,1.3,85,83.3,168.4,6.6
6,251.5,580.4,19.4,61,92.2,129.5,1.2,84,77.0,168.1,6.4
6,242.7,580.4,19.4,53,95.9,128.0,1.6,82,85.2,168.8,6.4
6,272.5,580.4,19.4,59,97.4,129.0,1.4,82,79.7,168.9,6.3
6,290.2,580.4,19.4,62,97.5,129.4,1.4,82,77.3,169.3,6.2
6,308.8,580.4,19.4,60,95.3,127.0,1.1,78,80.0,169.8,6.0
6,309.9,580.4,19.4,65,101.3,127.9,1.0,76,76.9,170.4,6.0
6,325.3,580.4,19.4,71,103.5,127.8,0.9,75,75.0,170.5,6.0
6,327.5,580.4,19.4,72,97.8,129.2,1.4,78,79.5,171.1,5.9
7,280.8,578.3,19.9,66,99.4,129.7,1.2,77,80.4,171.2,6.0
7,280.7,578.3,19.9,63,95.2,129.9,1.5,76,88.0,171.3,6.0
7,270.8,578.3,19.9,65,96.7,129.8,1.5,77,87.5,171.5,6.0
6,310.6,579.7,19.3,58,101.5,128.0,1.5,80,85.1,171.1,5.9
6,305.4,579.7,19.3,62,93.6,128.9,1.4,84,84.7,171.2,5.9
6,298.5,579.7,19.3,57,92.9,129.4,1.9,88,83.6,171.1,5.9
7,248.1,581.5,18.8,42,97.0,131.0,1.2,91,85.8,171.3,5.9
7,272.9,581.5,18.8,40,88.1,129.6,1.0,91,80.7,171.5,5.9
7,254.1,581.5,18.8,32,97.1,130.2,0.8,94,81.7,171.3,5.8
7,262.8,581.5,18.8,27,95.1,129.7,1.3,93,78.9,171.4,5.8
7,281.9,581.5,18.8,39,86.6,128.1,0.9,90,78.0,171.3,5.9
7,291.9,581.5,18.8,30,94.7,126.5,0.5,87,81.4,171.0,5.9
6,352.8,579.9,19.3,40,91.1,127.9,0.8,82,81.8,171.0,5.9
7,290.5,578.1,19.7,39,88.6,126.9,0.9,80,88.5,171.4,5.8
7,284.9,578.1,19.7,43,90.3,128.7,1.0,82,80.2,171.3,5.9
7,292.7,578.1,19.7,36,94.7,128.6,1.5,78,86.8,171.3,5.8
7,305.7,578.1,19.7,47,92.8,128.9,1.6,81,78.2,171.6,5.8
7,311.2,578.1,19.7,50,95.7,127.7,1.8,80,77.6,171.7,5.9
7,313.0,578.1,19.7,51,95.6,127.7,1.7,77,82.6,171.7,5.9
7,321.0,578.1,19.7,46,94.6,129.5,1.4,73,93.4,171.7,5.7
8,272.2,577.0,19.9,55,90.5,130.0,1.6,74,83.5,171.6,5.7
8,272.3,577.0,19.9,54,95.8,130.3,1.3,72,85.2,171.8,5.7
8,291.1,577.0,19.9,67,94.6,130.2,1.3,72,81.8,171.7,5.7
8,277.1,577.0,19.9,54,100.6,130.4,1.2,74,88.0,171.9,5.7
8,272.6,577.0,19.9,56,101.7,128.8,1.2,76,83.5,171.9,5.8
8,259.9,577.0,19.9,59,99.0,129.7,1.3,80,84.4,172.0,5.8
8,266.0,577.0,19.9,70,96.3,131.7,1.6,82,75.5,172.3,5.9
7,317.4,578.2,19.5,66,97.7,131.2,1.3,73,91.7,172.4,5.9
7,338.9,578.2,19.5,69,99.1,131.1,1.5,74,85.0,172.2,5.9
7,334.1,578.2,19.5,69,101.2,131.1,1.3,71,88.3,172.7,5.8
7,331.0,578.2,19.5,72,101.5,130.9,1.3,71,90.8,172.6,5.9
7,323.1,578.2,19.5,67,102.0,132.2,1.4,74,93.6,172.6,5.8
7,309.8,578.2,19.5,63,99.1,132.4,1.6,80,94.2,172.6,5.8
7,301.5,578.2,19.5,52,100.0,130.2,1.2,86,92.7,172.8,5.8
7,307.2,578.2,19.5,46,96.6,129.0,1.4,89,92.6,173.1,5.7
7,326.0,578.2,19.5,41,96.3,129.7,1.7,89,91.2,173.3,5.7
7,339.7,578.2,19.5,41,97.6,130.2,1.6,89,88.8,173.3,5.7
8,304.5,577.0,19.7,43,99.0,130.2,1.0,88,87.4,173.0,5.7
8,302.5,577.0,19.7,47,95.2,130.1,1.2,89,84.4,173.2,5.7
8,304.0,577.0,19.7,38,101.8,130.3,1.6,92,78.5,173.2,5.7
8,303.3,577.0,19.7,50,94.5,130.0,1.4,90,75.0,173.2,5.7
8,310.3,577.0,19.7,52,94.2,128.9,1.8,85,78.9,173.2,5.7
8,324.7,577.0,19.7,53,96.8,129.1,1.8,81,82.7,173.3,5.7
8,323.2,577.0,19.7,57,97.1,129.6,1.5,81,79.0,172.9,5.7
8,333.2,577.0,19.7,61,94.6,129.6,1.7,78,81.9,173.0,5.8
8,319.0,577.0,19.7,52,99.5,128.9,1.9,79,84.0,173.1,5.8
8,299.3,577.0,19.7,61,98.0,127.0,1.7,85,78.1,173.4,5.8
8,318.8,577.0,19.7,70,95.1,128.5,1.5,81,77.2,173.6,5.9
8,329.3,577.0,19.7,69,99.1,129.0,1.5,76,85.2,173.5,5.8
9,290.8,575.8,20.0,78,97.0,129.4,1.8,75,80.7,173.3,5.9
10,247.9,577.6,19.6,82,98.1,128.9,2.0,69,90.3,173.5,5.9
10,245.8,577.6,19.6,80,104.1,128.7,2.1,68,87.6,173.3,5.9
9,266.4,576.0,20.0,110,94.5,129.0,2.1,66,87.5,173.4,5.8
9,256.2,576.0,20.0,118,99.7,129.1,2.1,67,85.5,173.4,5.8
9,263.5,576.0,20.0,125,100.5,128.1,2.3,65,87.4,173.5,5.8
10,256.6,575.2,20.2,127,102.4,127.7,2.5,60,91.0,172.9,5.7
10,253.8,575.2,20.2,131,104.5,127.1,2.6,62,85.9,172.6,5.6
10,260.2,575.2,20.2,138,105.1,127.1,2.8,61,86.6,172.7,5.6
9,267.9,576.2,19.9,159,104.7,127.2,2.7,62,90.9,172.8,5.6
9,260.1,576.2,19.9,156,109.7,127.6,2.6,66,94.3,172.8,5.5
10,245.6,577.7,19.5,160,107.4,127.4,2.8,68,89.3,172.9,5.5
10,240.5,577.7,19.5,151,110.5,127.8,2.8,71,95.3,173.3,5.5
10,230.4,577.7,19.5,155,106.7,128.4,2.8,75,100.1,173.4,5.6
10,222.3,577.7,19.5,154,110.1,128.7,2.8,77,99.9,173.5,5.6
10,229.2,577.7,19.5,153,106.8,128.8,2.8,84,91.9,173.9,5.6
10,218.5,577.7,19.5,160,103.4,129.0,2.7,93,87.9,174.1,5.7
10,207.0,577.7,19.5,129,107.2,128.8,2.6,102,92.9,174.1,5.7
10,220.2,577.7,19.5,125,103.8,127.7,2.5,107,90.4,174.1,5.7
10,255.1,577.7,19.5,117,108.1,127.8,2.5,103,85.5,174.2,5.7
10,252.4,577.7,19.5,112,111.0,127.9,2.5,106,83.3,174.4,5.7
10,263.2,577.7,19.5,112,103.3,127.4,2.7,112,79.5,174.5,5.7
9,309.7,579.0,19.2,100,106.0,129.8,2.6,111,83.7,174.3,5.7
9,337.1,579.0,19.2,94,103.6,129.4,2.8,108,87.6,174.3,5.7
10,322.4,578.0,19.6,92,105.4,127.9,2.7,109,82.1,174.1,5.7
10,331.4,578.0,19.6,87,107.2,127.5,2.8,104,87.2,173.8,5.7
10,356.4,578.0,19.6,81,109.0,126.4,2.9,97,89.1,173.5,5.6
12,281.4,578.3,19.6,85,108.8,126.0,2.9,98,87.8,173.7,5.7
12,286.1,578.3,19.6,84,107.1,128.4,2.7,101,85.4,173.8,5.7
12,282.1,578.3,19.6,68,102.1,128.4,2.9,105,88.1,173.7,5.7
12,285.1,578.3,19.6,71,99.3,128.5,2.8,107,83.6,173.8,5.7
13,267.3,577.6,19.7,72,94.4,127.4,2.7,106,81.7,173.6,5.7
14,262.8,578.4,19.4,59,96.9,126.5,2.8,100,82.2,173.7,5.6
14,267.3,578.4,19.4,64,92.3,127.2,2.1,97,84.7,173.4,5.7
14,286.0,578.4,19.4,40,95.0,125.6,2.0,93,86.0,173.8,5.7
14,292.3,578.4,19.4,33,91.6,129.5,0.9,92,86.4,173.4,5.7
14,299.1,578.3,19.4,35,93.7,131.3,0.4,86,86.2,173.3,5.6
14,301.2,578.3,19.4,46,96.2,129.5,0.5,84,80.6,173.5,5.7
15,272.7,577.5,19.5,45,94.5,128.4,0.6,81,86.5,173.4,5.6
15,286.6,577.5,19.5,45,97.2,128.0,0.6,79,81.0,173.5,5.7
15,282.2,577.5,19.5,55,88.9,128.3,0.9,76,79.3,173.5,5.7
15,279.3,577.5,19.5,66,89.4,129.3,0.9,73,76.0,173.5,5.7
16,250.7,578.5,19.3,71,93.7,130.0,0.9,69,81.2,173.7,5.7
15,258.4,579.2,19.2,80,93.9,130.0,0.9,68,85.5,173.5,5.7
15,264.4,579.2,19.2,87,95.8,129.6,1.1,65,76.5,173.7,5.8
15,254.3,579.2,19.2,95,96.8,128.7,1.2,64,80.4,173.6,5.7
15,251.7,579.2,19.2,101,97.1,129.6,1.2,66,73.8,173.5,5.8
15,244.0,579.2,19.2,100,93.9,129.3,1.5,63,86.1,173.7,5.8
15,235.2,579.2,19.2,110,95.4,130.6,1.6,64,84.3,173.3,5.8
15,222.7,579.2,19.2,115,99.2,130.3,1.6,67,83.6,172.9,5.8
14,227.3,580.0,19.1,115,100.9,129.0,1.7,67,84.4,172.8,5.8
13,253.8,581.0,18.9,123,103.7,128.8,1.6,64,81.7,172.8,5.8
11,318.0,581.2,18.7,126,101.9,128.3,2.0,59,85.6,173.3,5.9
11,310.9,581.2,18.7,132,104.9,128.1,1.9,64,77.8,173.4,5.9
12,282.9,582.2,18.5,132,105.7,128.1,1.9,60,90.6,173.3,5.8
12,284.3,582.2,18.5,140,103.8,128.5,2.1,61,89.8,173.8,5.9
12,276.1,582.2,18.5,138,106.6,128.2,2.1,62,93.2,173.8,5.8
11,302.9,583.6,18.2,146,102.8,128.5,2.3,65,90.2,173.8,5.7
11,294.6,583.6,18.2,133,103.1,128.8,2.4,73,94.9,173.7,5.7
11,304.9,583.6,18.2,119,100.2,129.0,2.4,76,104.6,173.8,5.7
11,316.0,583.6,18.2,107,95.5,128.8,2.6,86,98.3,174.0,5.7
11,315.3,583.6,18.2,86,96.4,129.0,2.3,91,101.3,174.3,5.7
11,319.9,583.6,18.2,76,99.2,129.1,2.1,104,87.3,174.2,5.7
12,305.7,584.2,18.0,72,97.5,129.3,1.8,108,81.1,174.4,5.7
11,354.4,585.7,17.7,63,100.5,128.7,1.8,98,89.6,174.3,5.6
11,366.8,585.7,17.7,65,97.8,129.0,2.0,99,86.1,174.5,5.6
10,407.0,587.5,17.3,58,96.6,127.9,2.2,101,83.6,174.4,5.6
11,381.0,587.9,17.2,57,96.3,128.0,2.1,97,86.2,174.6,5.6
13,316.5,586.4,17.5,53,99.8,129.0,2.0,93,88.1,174.5,5.6
13,338.0,586.4,17.5,58,98.4,128.3,1.9,85,89.9,174.5,5.7
14,307.1,586.7,17.3,55,97.8,127.6,1.7,86,89.2,174.9,5.6
14,310.9,586.7,17.3,50,96.7,128.2,1.3,91,81.9,174.9,5.6
15,291.8,587.2,17.1,41,95.2,126.1,1.3,89,83.1,174.6,5.6
15,287.3,587.2,17.1,49,92.1,125.4,0.8,88,79.8,174.4,5.6
15,300.7,587.2,17.1,38,95.9,126.2,1.1,84,82.1,174.5,5.6
15,307.4,587.2,17.1,45,93.5,126.7,0.7,81,78.2,174.3,5.6
15,297.0,587.2,17.1,53,91.0,127.2,1.1,79,82.2,174.3,5.6
15,306.1,587.2,17.1,55,92.1,127.1,1.3,75,81.6,174.6,5.6
15,299.9,587.2,17.1,54,95.1,127.3,1.1,80,73.3,175.0,5.6
15,300.6,587.2,17.1,58,97.2,128.0,0.9,77,71.9,175.4,5.7
15,304.7,587.2,17.1,63,97.3,128.6,1.1,74,69.4,175.5,5.7
14,329.3,586.7,17.2,62,94.4,128.7,1.1,69,74.2,175.6,5.6
14,332.8,586.7,17.2,65,97.4,127.9,0.9,64,78.6,175.6,5.6
14,331.2,586.7,17.2,66,94.4,127.6,1.3,62,89.1,175.3,5.6
14,331.3,586.7,17.2,59,101.3,126.0,1.4,60,94.3,175.2,5.6
14,316.4,584.9,17.6,67,100.5,125.3,1.3,61,91.0,175.4,5.5
15,297.3,585.4,17.4,80,97.3,126.6,1.5,58,84.4,175.5,5.5
15,294.6,585.4,17.4,81,99.2,127.0,1.3,58,89.8,175.4,5.5
15,313.2,585.4,17.4,82,103.3,127.0,1.2,56,80.7,175.4,5.4
16,297.4,585.7,17.3,77,108.3,125.8,1.1,52,83.5,175.3,5.4
16,291.6,585.7,17.3,81,107.9,125.5,1.0,53,84.0,175.2,5.4
16,285.5,585.7,17.3,85,110.1,126.5,1.2,51,88.7,175.4,5.4
16,279.4,585.7,17.3,84,109.0,127.6,1.1,51,94.3,175.5,5.4
16,274.3,585.7,17.3,105,101.5,127.4,1.2,52,91.4,175.1,5.3
16,276.0,585.7,17.3,94,108.5,127.9,1.1,52,92.6,175.3,5.3
16,267.7,585.7,17.3,94,107.4,128.5,1.2,56,87.6,175.3,5.4
16,260.2,585.7,17.3,95,106.2,128.1,1.2,58,91.3,175.4,5.4
16,274.9,585.7,17.3,111,100.2,128.5,1.4,56,86.4,175.1,5.5
16,273.6,585.7,17.3,111,103.3,129.0,1.5,58,84.9,175.2,5.5
17,253.1,586.1,17.2,122,96.9,128.9,1.7,57,92.5,175.3,5.5
17,243.7,586.1,17.2,118,100.2,129.0,1.9,60,92.3,175.4,5.5
17,235.0,586.1,17.2,121,99.9,129.1,1.8,64,90.9,175.5,5.5
17,235.0,586.1,17.2,120,98.4,129.6,1.8,67,91.4,175.5,5.6
17,237.3,586.1,17.2,124,97.6,129.4,2.1,68,92.5,175.4,5.6
17,247.3,586.1,17.2,121,99.0,129.8,2.1,66,96.6,175.3,5.6
17,254.1,586.1,17.2,122,103.4,129.7,2.2,67,81.9,175.4,5.7
17,263.9,586.1,17.2,118,103.1,129.5,2.2,63,89.7,175.4,5.7
17,266.1,586.1,17.2,126,106.0,129.0,2.1,65,77.0,175.9,5.8
17,254.6,586.2,17.2,126,107.7,129.3,2.2,65,83.9,175.9,5.8
17,256.0,586.2,17.2,146,105.6,129.1,2.3,61,87.5,176.1,5.8
16,262.8,585.8,17.3,144,108.3,128.8,2.4,60,97.2,176.4,5.8
16,267.9,585.8,17.3,142,111.9,128.8,2.4,58,97.7,176.3,5.8
16,304.5,585.8,17.3,140,111.3,128.7,2.5,52,97.3,176.4,5.8
18,272.5,585.1,17.4,147,110.8,128.4,2.7,53,85.3,176.5,5.8
18,269.7,585.1,17.4,134,110.8,128.3,2.7,51,116.6,176.4,5.8
19,268.7,586.9,16.9,147,108.4,128.3,2.6,54,90.1,176.5,5.9
19,266.6,587.1,16.9,135,110.6,129.4,2.5,55,98.1,176.4,5.8
19,264.3,587.1,16.9,124,105.6,129.2,2.3,62,98.2,176.6,5.8
19,257.5,587.1,16.9,113,103.5,129.5,2.2,73,91.4,176.4,5.8
20,241.6,586.0,17.2,98,108.8,129.7,2.0,76,91.2,176.3,5.8
19,257.3,585.7,17.3,102,102.2,130.0,1.7,73,98.5,176.2,5.7
19,277.4,585.7,17.3,98,101.0,131.3,1.2,70,98.7,176.2,5.7
19,279.6,585.7,17.3,106,95.8,130.8,1.5,77,81.1,175.9,5.7
20,265.9,586.1,17.2,101,94.5,130.7,1.5,73,81.2,175.9,5.7
20,263.9,586.1,17.2,91,101.1,130.2,1.2,71,85.1,175.9,5.7
20,267.2,586.1,17.2,101,97.8,130.2,1.4,69,80.3,175.9,5.7
19,298.8,585.9,17.3,104,100.7,129.2,1.3,61,82.1,176.0,5.7
18,312.4,585.5,17.3,111,99.6,129.2,1.4,59,82.6,175.9,5.7
18,303.0,585.5,17.3,112,97.6,129.1,1.8,61,84.4,175.6,5.7
18,305.4,585.5,17.3,118,94.3,128.4,2.1,60,85.4,175.5,5.7
19,289.1,585.8,17.2,129,94.7,128.0,2.2,58,79.2,175.6,5.7
19,300.1,585.8,17.2,128,98.3,127.4,2.2,52,86.9,175.3,5.7
20,277.2,586.1,17.1,143,101.3,128.0,2.1,52,82.5,175.5,5.7
20,277.2,587.2,16.7,152,103.5,128.2,2.2,46,93.6,175.4,5.7
20,284.5,587.2,16.7,146,106.7,128.9,2.4,48,84.7,175.4,5.7
20,302.5,587.2,16.7,159,100.7,128.9,2.5,42,83.6,175.2,5.7
20,292.6,587.2,16.7,165,102.8,129.2,2.6,43,86.5,175.2,5.7
20,287.8,587.2,16.7,186,101.4,129.0,2.5,42,96.1,174.7,5.6
21,263.0,587.6,16.6,187,100.1,129.4,2.4,45,110.7,174.2,5.6
20,273.4,588.6,16.3,190,103.3,129.5,2.3,51,98.5,174.0,5.6
20,265.5,588.6,16.3,187,105.5,130.5,2.4,58,95.1,173.8,5.7
20,259.5,588.6,16.3,173,104.0,130.4,2.5,64,104.4,174.0,5.7
20,259.9,588.6,16.3,179,104.1,131.1,2.4,74,92.6,173.9,5.7
21,257.9,588.9,16.3,162,105.2,130.8,2.3,80,94.0,173.7,5.7
21,255.6,588.9,16.3,154,109.1,131.1,2.4,86,90.4,173.5,5.7
21,257.1,588.9,16.3,147,111.2,129.9,2.2,89,90.9,173.5,5.7
21,253.1,588.9,16.3,140,115.1,130.9,2.1,94,85.1,173.3,5.8
21,246.9,588.9,16.3,131,117.1,132.1,2.3,100,86.3,173.2,5.8
21,253.6,588.9,16.3,141,116.3,132.7,2.1,98,84.2,173.1,5.8
21,243.1,588.9,16.3,146,116.5,133.8,2.2,102,82.3,173.2,5.8
20,260.1,588.6,16.3,137,121.1,133.7,2.5,98,83.8,173.0,5.8
20,263.5,588.6,16.3,137,120.9,132.6,2.7,100,79.7,173.0,5.7
20,267.7,588.6,16.3,126,127.8,134.2,2.8,95,84.4,173.0,5.7
21,255.5,588.8,16.2,131,120.8,135.1,2.8,93,86.7,173.0,5.7
20,274.0,590.0,15.9,140,114.0,134.0,2.7,91,85.4,173.1,5.8
20,273.8,590.0,15.9,144,113.4,134.5,2.6,87,91.7,173.0,5.8
21,245.8,590.1,15.8,137,110.2,133.9,2.7,96,88.5,173.0,5.8
20,264.6,589.8,15.8,128,104.5,132.0,2.6,96,97.3,173.3,5.9
20,260.8,589.6,15.9,117,103.2,131.3,2.8,107,87.2,173.5,5.9
19,275.6,590.8,15.5,109,101.3,130.4,2.9,109,87.9,173.8,5.9
21,251.6,590.9,15.4,101,102.7,129.7,2.7,111,85.4,174.0,6.0
20,276.2,590.7,15.3,104,101.6,129.1,2.6,109,79.0,174.3,6.1
19,301.6,590.6,15.3,90,99.7,127.5,2.4,103,88.6,174.4,6.1
18,335.6,591.9,14.9,80,98.4,127.3,2.4,100,89.3,174.3,6.1
18,350.0,591.9,14.9,83,93.8,126.9,2.3,98,80.7,174.3,6.1
18,353.7,591.9,14.9,87,94.6,126.9,2.2,94,81.1,174.4,6.2
19,321.8,591.8,14.9,78,96.9,126.0,2.2,96,86.3,174.6,6.2
19,322.0,591.8,14.9,71,100.0,127.2,2.0,91,91.8,174.5,6.2
19,335.3,591.8,14.9,65,98.9,128.9,2.0,84,98.6,174.4,6.3
20,316.0,591.8,14.9,61,97.5,129.3,2.0,85,93.8,174.7,6.3
20,320.0,591.8,14.9,58,94.3,129.9,1.6,81,96.2,174.8,6.2
20,319.1,591.8,14.9,65,91.2,130.3,1.5,82,90.2,175.0,6.2
21,293.0,591.9,14.9,74,90.8,130.4,1.4,85,83.9,174.9,6.2
21,278.1,591.9,14.9,76,93.7,129.5,1.2,88,82.5,175.0,6.1
21,267.0,591.9,14.9,70,95.9,131.4,1.1,88,87.4,175.0,6.1
21,262.9,591.9,14.9,70,98.2,130.9,1.1,90,85.2,175.0,6.1
22,247.8,592.1,15.0,67,95.7,130.9,1.1,90,81.0,174.9,6.1
22,266.1,592.1,15.0,60,96.2,131.4,1.3,81,82.7,174.9,6.2
22,274.9,592.1,15.0,61,94.0,131.3,1.4,75,80.8,174.9,6.1
22,274.3,592.1,15.0,55,92.9,130.7,1.3,73,83.7,174.8,6.2
22,271.4,592.1,15.0,59,97.8,130.6,1.2,72,76.5,174.6,6.2
21,290.2,592.1,14.9,70,94.1,129.1,1.3,64,80.8,174.5,6.2
21,280.6,592.1,14.9,67,98.3,128.7,1.5,64,81.9,174.4,6.1
21,277.9,592.1,14.9,66,101.1,129.6,1.7,60,86.3,174.4,6.1
20,300.3,592.1,15.0,70,91.6,129.0,2.1,52,100.8,174.6,6.1
20,298.5,592.1,15.0,77,93.2,128.6,1.9,52,97.1,174.6,6.0
20,298.3,592.1,15.0,85,96.6,128.8,1.9,52,88.8,174.7,6.1
20,299.0,592.1,15.0,100,94.9,127.6,2.0,49,89.3,174.3,6.0
