wolfCount,wolfEnergy,wolfRepro,wolfFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue
6,200.8,575.8,19.2,91,84.0,129.2,0.0,14,39.7,166.9,9.0
6,191.2,575.8,19.2,77,95.4,128.8,0.0,13,78.6,166.5,9.3
6,183.5,575.8,19.2,72,103.6,129.7,0.1,13,94.2,164.8,8.8
6,167.0,575.8,19.2,76,108.0,129.4,0.4,15,75.4,164.6,9.2
6,165.4,575.8,19.2,76,107.9,128.5,0.7,16,83.2,165.0,8.4
6,148.9,575.8,19.2,89,104.5,128.8,1.2,19,66.5,165.5,8.6
6,155.0,575.8,19.2,96,102.5,128.6,1.5,22,70.8,164.6,9.3
6,142.4,575.8,19.2,100,102.8,129.8,1.3,24,94.2,165.1,9.0
6,156.3,575.8,19.2,112,99.7,129.5,1.5,23,98.5,163.9,9.4
6,155.1,575.8,19.2,126,103.5,130.1,1.4,25,87.5,165.7,8.6
6,150.6,575.8,19.2,136,104.7,129.5,1.6,30,72.7,165.7,8.0
6,137.9,575.8,19.2,137,106.0,130.1,1.7,32,88.3,165.4,7.8
6,135.1,575.8,19.2,153,103.4,129.7,1.9,36,85.2,164.8,8.0
5,148.5,577.2,18.2,150,107.5,130.3,1.9,39,96.7,165.1,7.7
4,235.8,577.0,19.0,160,103.9,130.4,2.0,43,87.0,165.7,7.8
4,269.7,577.0,19.0,159,103.9,130.6,2.1,47,91.1,165.5,8.1
4,280.7,577.0,19.0,153,106.1,130.8,2.0,56,85.3,165.9,7.7
4,305.1,577.0,19.0,136,105.8,131.4,2.1,65,87.3,165.6,7.7
4,334.1,577.0,19.0,125,101.6,132.5,2.2,72,95.5,165.9,7.3
4,357.7,577.0,19.0,117,101.2,132.0,2.0,79,92.5,166.6,7.2
4,391.0,577.0,19.0,99,99.0,132.5,2.5,86,96.9,166.8,7.2
4,477.1,577.0,19.0,82,98.2,132.1,2.4,90,95.1,167.0,7.3
5,378.4,579.3,18.3,64,103.0,132.3,2.2,99,90.2,167.0,7.4
6,322.9,577.5,19.0,63,100.8,132.7,2.3,104,79.4,167.0,7.4
6,324.7,577.5,19.0,63,92.4,133.4,1.8,106,80.6,167.0,7.5
6,305.7,577.5,19.0,48,95.9,131.8,1.5,109,83.2,167.5,7.4
6,309.7,577.5,19.0,33,96.5,132.1,1.3,113,81.0,167.6,7.4
6,301.6,577.5,19.0,34,92.4,131.2,1.2,115,76.1,167.3,7.5
6,283.7,577.5,19.0,24,98.8,129.3,0.4,116,74.3,167.3,7.3
7,232.7,576.9,18.4,29,88.7,129.4,0.3,112,72.4,167.6,7.3
7,226.6,576.9,18.4,35,80.9,128.8,0.1,108,73.1,167.7,7.3
7,230.9,576.9,18.4,28,87.7,127.8,0.4,106,73.5,168.6,7.0
7,224.4,576.9,18.4,30,88.3,127.6,0.3,103,73.2,168.8,6.9
7,238.5,576.9,18.4,32,92.2,127.0,0.3,94,74.1,169.1,6.8
7,238.9,576.9,18.4,44,88.2,128.0,0.6,89,73.3,169.6,6.7
7,220.5,576.9,18.4,49,93.6,128.0,0.7,88,72.6,169.4,6.7
7,215.6,576.9,18.4,58,89.0,128.9,0.7,90,71.5,170.2,6.6
7,197.2,576.9,18.4,45,96.1,128.0,0.4,92,75.1,169.6,6.7
6,239.5,577.7,17.8,41,93.3,129.5,0.9,92,74.7,169.6,6.8
6,267.3,577.7,17.8,43,97.2,129.2,0.7,89,70.6,169.6,6.9
6,271.7,577.7,17.8,45,91.4,130.0,1.1,86,74.0,169.6,6.9
6,266.5,577.7,17.8,47,88.4,131.9,1.3,85,73.6,169.2,7.2
6,266.7,577.7,17.8,50,83.8,130.1,0.6,84,77.2,168.7,7.4
6,265.7,577.7,17.8,42,89.8,128.2,0.7,90,68.0,168.5,7.6
6,264.2,577.7,17.8,44,92.3,129.1,0.3,84,71.9,168.6,7.5
6,246.4,577.7,17.8,44,94.2,130.9,0.6,84,72.3,168.2,7.5
6,253.6,577.7,17.8,39,100.9,129.9,0.8,85,68.7,168.1,7.7
6,264.1,577.7,17.8,39,93.8,129.4,0.8,81,72.5,167.6,7.8
6,246.3,577.7,17.8,40,99.2,128.5,0.6,83,73.9,167.1,8.1
6,231.4,577.7,17.8,42,95.9,129.6,0.8,85,70.5,168.0,8.0
6,259.0,577.7,17.8,35,98.6,129.0,1.1,75,77.7,167.7,8.3
6,261.8,577.7,17.8,35,91.6,128.5,0.9,74,78.6,167.4,8.3
6,244.0,577.7,17.8,34,91.1,128.1,0.4,79,73.8,165.9,8.7
6,243.9,577.7,17.8,34,90.5,127.6,0.9,78,75.2,166.3,8.5
6,238.6,577.7,17.8,28,88.5,126.3,0.5,77,80.1,166.5,8.4
5,299.6,575.5,18.3,34,87.4,129.5,0.7,79,67.7,166.3,8.5
5,292.0,575.5,18.3,31,91.1,129.0,0.8,77,69.3,167.3,8.2
5,273.2,579.3,18.6,38,89.2,129.4,0.8,72,72.8,168.4,7.9
5,270.3,579.3,18.6,47,92.2,129.1,0.7,70,71.6,168.3,8.0
5,272.0,579.3,18.6,43,96.3,129.9,0.9,70,72.8,168.2,8.0
5,281.0,579.3,18.6,38,95.7,134.0,0.9,70,76.5,167.9,8.1
5,275.4,579.3,18.6,36,97.8,132.0,1.2,71,76.0,168.4,8.0
5,256.8,579.3,18.6,34,97.3,130.6,1.2,69,84.8,168.6,7.9
5,238.2,579.3,18.6,47,92.2,130.6,1.1,75,73.1,168.2,8.2
4,325.6,580.4,19.5,50,96.2,130.7,1.2,70,75.7,169.1,7.8
4,322.5,580.4,19.5,54,95.6,129.8,1.4,69,72.0,169.8,7.6
4,311.4,580.4,19.5,67,93.6,130.2,1.4,66,78.5,170.3,7.4
4,291.9,580.4,19.5,59,96.0,130.7,1.6,63,92.0,169.9,7.5
4,344.7,580.4,19.5,66,94.3,131.3,1.8,61,86.6,170.0,7.4
5,264.0,583.0,18.8,79,95.4,129.9,1.7,64,80.8,170.3,7.0
5,306.0,583.0,18.8,73,93.8,129.3,1.7,61,85.6,169.6,7.2
5,309.8,583.0,18.8,62,98.0,130.5,1.7,64,86.3,169.8,7.1
5,301.5,583.0,18.8,69,91.8,129.2,1.6,67,86.0,169.6,7.0
5,304.5,583.0,18.8,60,94.9,129.0,1.3,73,81.3,168.4,7.4
6,227.1,580.4,19.4,62,95.2,128.4,1.4,76,82.0,167.7,7.4
6,233.3,580.4,19.4,59,97.0,127.8,1.5,79,78.7,168.2,7.2
