wolfCount,wolfEnergy,wolfRepro,wolfFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue
244,486.6,1017.2,7.0,19,605.8,888.8,5.7,1344,311.5,128.0,4.4
243,488.6,1017.2,7.0,15,705.5,893.9,5.6,1391,310.2,128.0,4.5
243,483.8,1017.2,7.0,20,616.1,900.1,5.5,1432,311.4,127.9,4.5
242,482.9,1017.2,7.0,20,665.8,904.5,5.5,1462,313.4,128.0,4.5
240,483.9,1017.2,7.0,24,670.5,908.7,5.5,1501,313.5,128.0,4.6
239,483.7,1017.2,7.0,24,718.9,908.5,5.5,1546,312.8,128.1,4.6
239,479.7,1017.2,7.0,28,700.0,909.9,5.6,1579,315.1,128.2,4.7
239,476.9,1017.2,7.0,27,747.1,909.3,5.6,1601,318.5,128.2,4.7
239,475.3,1017.2,7.0,34,693.1,911.0,5.5,1656,316.9,128.3,4.8
239,472.7,1017.2,7.0,38,762.7,913.2,5.5,1691,315.2,128.3,4.8
239,471.5,1017.2,7.0,44,733.9,914.5,5.6,1711,318.4,128.3,4.9
239,473.0,1017.2,7.0,50,695.5,915.1,5.6,1757,317.3,128.3,4.9
236,475.1,1017.2,7.0,56,719.0,915.5,5.6,1788,318.8,128.3,5.0
235,480.3,1017.2,7.0,60,693.7,915.6,5.6,1817,321.7,128.3,5.0
238,472.0,1017.3,7.0,59,742.9,915.6,5.7,1855,321.4,128.2,5.0
239,473.5,1017.3,7.0,61,724.2,915.7,5.6,1900,322.0,128.3,5.1
240,471.9,1017.3,7.0,64,721.1,915.9,5.6,1926,324.9,128.3,5.1
243,465.2,1017.3,7.0,63,745.8,916.5,5.5,1968,325.8,128.2,5.2
246,470.5,1017.3,7.0,56,746.1,916.5,5.5,2007,327.4,128.2,5.2
249,467.9,1017.3,7.0,56,737.4,916.4,5.5,2036,330.3,128.2,5.2
252,459.2,1017.3,7.0,57,748.7,916.4,5.5,2071,332.4,128.1,5.2
255,455.1,1017.3,7.0,58,762.8,916.5,5.5,2118,332.2,128.1,5.3
259,451.1,1017.4,7.0,58,750.2,916.9,5.5,2161,333.5,128.1,5.3
260,457.6,1017.4,7.0,55,771.2,917.3,5.4,2198,335.3,128.1,5.3
266,442.9,1017.4,7.1,59,769.0,917.3,5.5,2235,336.6,128.0,5.3
267,442.8,1017.4,7.1,65,739.6,917.2,5.5,2264,339.3,128.1,5.3
