rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
55,160.0,331.2,6.3,135,101.9,129.1,1.4,25,408.5,671.9,5.4
54,162.0,331.1,6.4,151,99.8,128.8,1.5,25,414.8,671.9,5.4
50,151.8,331.3,6.3,169,100.5,128.2,1.6,27,403.5,671.8,5.4
50,150.5,331.2,6.4,174,105.3,127.9,1.6,29,376.3,671.8,5.4
51,155.3,331.1,6.3,188,104.5,127.9,1.7,29,374.0,671.8,5.4
51,165.1,331.1,6.2,180,108.4,128.2,1.9,29,376.6,671.8,5.4
54,141.1,331.0,6.3,186,111.5,128.1,2.0,30,370.5,671.7,5.4
57,143.1,330.9,6.3,190,111.6,128.0,2.0,30,369.4,671.7,5.4
55,170.2,331.1,6.4,190,111.1,127.9,2.1,30,370.8,671.7,5.4
57,158.5,331.1,6.5,194,113.5,128.4,2.1,31,364.4,671.7,5.4
47,164.6,330.6,6.5,204,112.8,128.0,2.1,31,399.3,671.7,5.4
47,171.0,330.1,6.6,212,110.7,128.0,2.1,31,408.1,671.7,5.4
46,166.4,330.3,6.6,214,113.4,128.4,2.1,32,403.6,671.7,5.4
51,150.9,330.2,6.8,221,116.2,128.7,2.2,32,400.9,671.7,5.4
49,143.5,330.0,6.9,229,117.6,128.7,2.3,33,404.0,671.7,5.4
51,152.3,329.9,7.0,232,120.4,128.6,2.3,33,408.1,671.7,5.4
46,164.5,329.9,6.9,232,123.0,128.9,2.2,35,397.3,671.6,5.4
46,158.1,330.0,7.1,234,126.7,128.8,2.2,36,385.5,671.7,5.4
47,166.6,329.6,7.2,229,133.6,128.7,2.3,37,373.8,671.7,5.4
49,158.2,330.0,7.1,235,136.6,129.0,2.3,37,376.8,671.7,5.4
51,155.5,330.0,7.2,232,142.9,128.8,2.2,38,366.8,671.7,5.4
50,145.4,330.3,7.3,249,140.0,128.6,2.3,38,377.7,671.7,5.4
41,170.1,330.2,7.4,256,141.1,129.0,2.4,38,395.3,671.7,5.4
36,189.0,330.8,7.2,257,144.2,128.9,2.5,38,407.3,671.7,5.4
39,148.6,331.2,7.2,269,147.2,128.7,2.5,38,410.5,671.7,5.4
35,138.1,331.3,7.0,276,148.5,128.9,2.6,40,399.3,671.7,5.4
32,148.1,331.0,7.4,290,146.3,129.6,2.7,40,409.0,671.7,5.4
28,172.3,331.2,7.4,307,145.7,129.6,2.7,41,405.6,671.8,5.4
24,175.7,330.5,7.6,329,145.5,129.4,2.7,42,404.9,671.8,5.4
22,184.6,328.5,8.1,349,145.8,129.3,2.8,43,394.2,671.8,5.4
20,204.8,328.9,8.3,371,146.0,129.4,2.8,44,385.7,671.8,5.4
19,195.1,328.8,8.8,386,149.0,129.4,3.0,45,379.3,671.8,5.5
22,184.2,329.2,9.3,394,152.8,129.4,3.0,45,377.7,671.8,5.5
23,165.2,329.8,9.4,417,152.6,129.4,3.0,45,381.8,671.8,5.5
22,172.4,329.1,10.1,425,157.0,129.5,3.2,45,386.5,671.8,5.5
25,171.9,328.9,10.3,431,162.1,129.5,3.1,45,385.0,671.8,5.5
22,190.4,327.6,11.5,444,162.8,129.4,3.2,45,394.0,671.8,5.5
26,191.6,327.1,11.9,449,167.5,129.2,3.2,45,390.9,671.8,5.5
24,202.7,326.7,12.3,461,168.7,129.2,3.2,46,387.2,671.8,5.4
24,197.9,326.5,12.3,476,170.7,129.4,3.2,46,389.6,671.8,5.4
23,174.4,327.4,11.9,509,168.5,129.5,3.3,47,384.1,671.8,5.4
24,169.7,327.8,11.5,527,171.3,129.5,3.4,47,384.6,671.8,5.4
26,172.6,328.5,11.1,548,172.4,129.6,3.4,47,381.8,671.8,5.4
26,174.4,329.0,11.2,562,176.6,129.6,3.5,47,381.1,671.8,5.4
29,161.5,329.4,10.9,574,179.7,129.4,3.5,47,382.0,671.8,5.4
29,188.9,330.1,10.6,584,182.8,129.5,3.6,47,380.5,671.8,5.4
35,170.8,330.5,10.3,601,183.6,129.4,3.7,47,377.7,671.8,5.4
36,197.5,331.1,10.0,614,183.7,129.2,3.8,47,378.6,671.8,5.4
40,201.9,330.5,10.4,629,184.6,129.5,3.9,47,376.3,671.8,5.4
43,218.1,330.5,10.5,632,187.2,129.6,3.9,47,378.6,671.8,5.4
50,205.1,330.7,10.4,635,190.1,129.6,4.0,48,367.9,671.8,5.4
54,176.3,330.6,10.4,625,195.8,129.5,3.9,47,391.1,671.7,5.4
60,181.2,330.3,10.6,609,201.7,129.5,4.0,49,371.2,671.7,5.4
60,193.5,329.9,10.9,614,203.8,129.3,4.1,50,365.0,671.7,5.4
65,184.9,329.9,10.9,617,206.0,129.4,4.1,52,351.8,671.8,5.4
62,211.7,330.1,10.7,614,205.1,129.5,4.1,52,367.4,671.8,5.4
63,196.1,329.8,10.8,621,200.4,129.4,4.2,53,384.3,671.7,5.4
69,182.1,329.5,10.9,628,199.5,129.5,4.2,53,386.8,671.7,5.4
77,177.4,329.3,11.0,623,198.6,129.6,4.2,53,391.0,671.7,5.4
86,186.0,329.3,11.0,618,194.0,129.8,4.2,53,391.1,671.7,5.4
89,167.2,329.2,11.1,622,189.7,129.8,4.1,53,413.4,671.7,5.4
90,171.0,328.6,11.5,603,192.7,130.0,4.2,55,406.4,671.6,5.4
86,179.7,328.7,11.5,600,192.3,129.7,4.2,59,383.2,671.7,5.4
88,174.0,328.5,11.6,592,191.0,129.6,4.2,59,397.0,671.7,5.4
83,156.5,328.1,11.8,603,188.8,129.7,4.1,60,412.6,671.7,5.4
81,158.5,327.8,12.0,613,187.0,129.7,4.1,62,403.1,671.6,5.4
79,163.2,327.8,11.7,604,189.6,129.9,4.0,62,410.5,671.6,5.4
77,171.7,328.1,11.5,606,189.0,130.1,4.0,63,410.1,671.6,5.4
80,160.4,327.7,11.7,607,189.4,130.2,4.0,63,415.7,671.6,5.4
85,168.5,327.9,11.5,594,192.6,130.2,3.9,64,406.3,671.6,5.4
93,160.4,327.9,11.6,580,195.8,130.6,3.8,64,405.9,671.7,5.4
94,171.8,328.2,11.4,553,202.6,130.6,3.7,65,400.7,671.6,5.4
102,145.3,328.6,11.2,556,204.5,130.6,3.7,65,405.2,671.6,5.4
105,152.9,328.6,11.2,517,212.9,130.7,3.6,65,408.5,671.6,5.4
104,151.3,328.9,11.0,519,211.8,130.6,3.6,65,411.9,671.6,5.4
101,142.5,329.3,10.8,519,211.5,130.5,3.6,66,415.8,671.6,5.4
95,167.3,329.6,10.7,528,208.3,130.3,3.5,67,408.3,671.7,5.4
90,166.3,330.8,10.0,524,211.3,130.4,3.6,67,409.9,671.7,5.4
89,152.1,331.7,9.6,523,213.7,130.0,3.6,67,419.2,671.7,5.4
83,142.3,332.2,9.3,536,211.6,129.9,3.6,68,419.5,671.7,5.4
77,163.9,332.8,9.0,532,213.7,129.7,3.4,69,417.0,671.7,5.4
81,145.3,333.6,8.6,539,215.6,129.5,3.4,70,412.4,671.7,5.4
79,147.3,334.3,8.4,534,221.4,129.2,3.3,70,415.1,671.7,5.4
81,139.3,334.7,8.1,543,222.5,129.0,3.4,72,400.0,671.8,5.4
81,139.7,335.3,7.9,556,223.1,129.1,3.4,72,397.5,671.8,5.4
83,142.9,335.5,7.7,549,228.3,129.2,3.3,72,395.6,671.8,5.4
76,150.1,335.6,7.5,557,229.1,129.2,3.4,72,398.7,671.8,5.4
72,140.1,335.8,7.5,570,230.7,129.3,3.4,74,390.0,671.8,5.4
70,130.1,336.1,7.3,579,231.3,129.1,3.5,76,382.4,671.7,5.4
56,158.7,336.5,7.3,594,231.6,129.2,3.6,76,387.3,671.7,5.4
48,153.1,337.0,6.9,599,235.0,129.1,3.6,79,379.8,671.7,5.4
40,148.9,337.7,6.6,624,234.2,129.2,3.6,80,379.5,671.7,5.4
35,163.2,338.1,6.5,647,234.2,129.4,3.7,80,381.5,671.7,5.4
34,170.8,338.2,6.5,669,236.1,129.3,3.7,80,377.9,671.7,5.4
35,136.4,338.1,6.5,693,237.4,129.2,3.7,80,377.5,671.7,5.4
32,131.9,337.9,6.6,717,239.0,129.1,3.8,80,377.4,671.7,5.4
29,144.3,337.3,6.8,744,239.4,128.9,3.8,80,375.4,671.7,5.4
29,152.6,337.2,6.8,766,241.0,129.0,3.9,80,372.4,671.7,5.4
31,167.5,336.5,6.9,785,242.0,128.8,3.9,80,369.5,671.7,5.4
33,172.2,336.1,7.0,810,242.4,128.4,4.0,80,365.5,671.7,5.4
35,188.0,336.2,7.0,836,241.8,128.4,4.0,80,362.2,671.7,5.4
38,190.7,335.4,7.2,863,241.6,128.3,4.1,80,359.0,671.7,5.4
42,197.6,335.2,7.2,881,242.4,128.2,4.2,80,355.4,671.7,5.4
45,201.1,334.1,7.4,892,243.6,128.1,4.2,80,356.9,671.7,5.4
56,155.8,334.1,7.4,910,245.7,128.1,4.2,81,347.1,671.7,5.4
63,179.5,333.5,7.5,913,246.5,128.0,4.3,81,345.3,671.7,5.4
71,199.3,333.5,7.5,909,247.9,127.9,4.4,81,343.2,671.7,5.4
78,176.8,333.0,7.6,894,252.0,127.5,4.4,82,343.6,671.7,5.5
86,186.9,332.6,7.7,891,249.2,127.5,4.5,84,336.1,671.7,5.5
84,214.8,332.9,7.6,901,244.8,127.4,4.6,85,338.0,671.7,5.5
81,202.2,333.4,7.5,908,243.7,127.3,4.6,87,343.9,671.7,5.5
83,211.5,333.6,7.5,918,241.4,127.4,4.7,88,343.4,671.8,5.4
89,199.4,333.4,7.5,934,237.2,127.2,4.7,89,346.6,671.7,5.4
82,217.1,333.7,7.4,913,239.4,127.1,4.7,92,349.0,671.7,5.4
88,170.2,334.9,7.1,953,233.9,127.0,4.7,94,351.1,671.8,5.4
88,211.6,335.3,7.1,942,233.1,126.8,4.8,94,354.3,671.8,5.4
95,210.3,335.1,7.2,915,237.5,126.6,4.8,96,348.6,671.7,5.4
103,191.4,335.7,7.1,916,236.8,126.4,4.8,96,354.2,671.7,5.4
108,194.7,335.5,7.1,914,234.0,126.3,4.7,96,362.1,671.7,5.4
122,185.1,335.9,7.0,911,230.4,126.2,4.7,99,352.0,671.7,5.5
125,170.9,336.1,7.0,903,230.3,126.1,4.7,98,365.7,671.7,5.5
133,174.4,336.2,7.0,890,230.5,126.0,4.8,97,371.4,671.7,5.5
140,168.3,336.5,7.0,886,230.0,125.7,4.8,97,376.9,671.7,5.5
150,158.4,336.5,7.0,881,230.7,125.6,4.8,100,367.4,671.7,5.5
150,157.2,336.6,6.9,867,233.3,125.6,4.8,103,358.6,671.7,5.5
146,167.3,336.6,7.0,854,234.3,125.2,4.8,106,351.8,671.7,5.5
142,169.7,337.0,6.9,858,234.4,125.1,4.8,104,364.2,671.7,5.5
131,162.4,337.3,6.8,870,233.6,125.1,4.8,106,368.1,671.6,5.5
123,171.5,337.3,6.9,852,239.3,125.1,4.8,106,376.9,671.6,5.5
117,183.9,337.4,6.9,867,237.2,125.1,4.8,110,363.6,671.7,5.5
106,183.7,337.4,6.9,884,238.7,125.2,4.9,112,362.6,671.7,5.5
100,200.8,337.9,6.8,899,239.1,125.5,4.8,113,361.6,671.7,5.5
91,218.0,338.4,6.8,919,238.9,125.7,4.8,114,362.4,671.7,5.5
89,202.4,338.5,6.8,959,235.1,125.7,4.8,115,362.7,671.6,5.5
80,203.2,338.6,6.7,974,237.5,125.7,4.9,115,366.8,671.6,5.5
73,181.9,338.2,6.8,1009,229.0,125.8,4.9,118,370.9,671.6,5.5
70,191.0,338.2,6.9,1044,227.3,125.8,4.9,120,352.8,671.6,5.5
61,182.3,338.3,6.8,1081,225.6,125.8,4.9,120,364.7,671.6,5.5
46,215.8,338.2,6.6,1118,226.2,125.8,5.0,122,360.4,671.7,5.5
38,194.6,338.5,6.7,1169,224.8,125.8,5.0,124,359.9,671.7,5.5
32,194.9,338.5,6.6,1219,226.1,125.9,5.0,124,360.1,671.7,5.5
25,153.7,338.6,6.6,1272,227.2,126.0,5.0,126,357.8,671.7,5.5
23,196.4,338.7,6.6,1326,228.1,126.0,5.0,127,350.8,671.7,5.5
20,206.5,339.0,6.7,1376,230.0,126.0,5.0,127,349.6,671.7,5.5
16,165.5,339.2,6.0,1445,229.4,126.0,5.1,126,352.9,671.7,5.5
12,172.9,338.4,6.2,1526,228.4,126.0,5.1,126,350.0,671.7,5.5
9,174.5,338.3,6.4,1588,230.3,126.0,5.1,125,351.0,671.7,5.5
8,132.2,339.1,6.2,1653,232.1,126.1,5.1,126,345.3,671.7,5.5
8,159.3,339.1,6.2,1721,233.6,126.1,5.1,126,341.5,671.7,5.5
9,137.2,339.8,6.0,1786,235.8,126.1,5.2,126,337.6,671.7,5.5
9,146.0,339.8,6.0,1857,237.3,126.1,5.2,125,336.5,671.7,5.5
9,193.2,339.8,6.0,1923,239.4,126.1,5.2,124,335.4,671.7,5.5
6,193.2,338.5,6.2,1991,241.6,126.1,5.3,124,334.3,671.7,5.5
7,95.2,339.9,5.9,2074,242.6,126.1,5.3,124,332.2,671.7,5.5
6,202.5,340.8,6.0,2139,245.4,126.1,5.3,123,331.8,671.7,5.5
7,225.4,340.2,6.3,2202,248.6,126.2,5.4,123,328.2,671.7,5.5
6,277.8,340.5,6.4,2273,251.1,126.2,5.4,123,326.7,671.7,5.5
7,222.9,342.1,6.0,2347,253.7,126.2,5.4,123,323.3,671.7,5.5
9,200.8,341.7,6.1,2398,258.3,126.2,5.4,121,325.1,671.7,5.5
10,184.7,342.8,5.9,2471,260.9,126.2,5.5,121,323.0,671.7,5.5
10,279.0,342.8,5.9,2534,264.4,126.2,5.5,121,319.8,671.7,5.5
13,231.0,342.6,6.0,2593,268.0,126.2,5.5,121,317.4,671.7,5.5
12,295.8,343.1,6.2,2651,272.0,126.2,5.5,120,318.5,671.7,5.5
15,274.4,343.1,6.1,2709,275.9,126.2,5.6,119,318.1,671.7,5.5
17,291.8,343.2,6.1,2758,280.6,126.2,5.6,119,314.9,671.7,5.5
21,253.1,343.3,6.2,2816,284.4,126.2,5.6,120,309.7,671.7,5.5
23,287.1,343.1,6.3,2858,289.5,126.2,5.6,120,307.0,671.7,5.5
28,222.1,343.3,6.2,2897,294.5,126.3,5.6,120,308.5,671.7,5.5
29,264.6,342.6,6.4,2929,299.7,126.3,5.6,119,310.4,671.6,5.5
37,224.8,343.1,6.3,2985,302.7,126.3,5.7,120,304.9,671.6,5.5
44,209.5,342.8,6.4,3022,307.6,126.3,5.7,119,305.4,671.7,5.5
49,203.1,343.3,6.4,3066,311.3,126.4,5.7,120,303.9,671.6,5.5
55,174.9,343.3,6.3,3092,317.3,126.3,5.7,119,307.8,671.7,5.4
56,198.5,343.6,6.2,3132,321.2,126.4,5.7,120,305.0,671.6,5.4
60,188.0,343.4,6.3,3158,327.2,126.4,5.8,120,307.0,671.7,5.4
59,175.1,342.9,6.4,3198,331.8,126.3,5.8,121,307.5,671.7,5.4
51,192.7,342.4,6.3,3244,335.9,126.4,5.8,118,320.2,671.6,5.4
54,181.4,341.8,6.3,3295,339.4,126.4,5.8,119,318.4,671.6,5.4
49,169.9,341.3,6.3,3351,342.5,126.3,5.8,119,325.4,671.6,5.4
49,151.2,341.6,6.2,3393,347.6,126.3,5.9,120,323.7,671.6,5.5
42,177.7,341.0,6.3,3441,351.8,126.3,5.9,118,332.5,671.6,5.5
40,156.7,341.1,6.2,3511,354.0,126.3,5.9,121,325.4,671.6,5.5
32,165.7,341.1,6.1,3568,356.9,126.3,5.9,123,327.5,671.6,5.5
26,199.5,341.5,6.1,3620,361.1,126.4,5.9,123,328.0,671.6,5.5
20,228.8,342.7,5.8,3708,361.5,126.4,5.9,124,336.2,671.6,5.5
21,154.5,342.6,5.8,3793,363.8,126.4,5.9,124,336.6,671.6,5.5
19,197.0,342.8,5.8,3844,368.6,126.5,5.9,123,339.9,671.6,5.4
14,271.0,342.8,6.0,3915,371.8,126.4,5.9,123,340.9,671.6,5.4
13,291.6,342.1,5.6,4008,373.3,126.5,6.0,123,340.1,671.6,5.4
16,197.0,342.3,5.6,4070,377.6,126.5,6.0,122,341.2,671.6,5.4
17,241.7,342.8,5.7,4141,380.6,126.5,6.0,122,341.1,671.6,5.4
