rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
75,80.3,130.6,5.5,59,94.1,127.2,1.8,10,235.5,651.1,31.6
74,84.5,131.5,5.5,57,94.4,127.9,2.0,10,242.9,651.1,31.6
82,84.5,132.3,5.6,49,100.4,128.1,2.0,10,253.5,651.1,31.6
87,88.4,132.5,5.5,46,97.2,127.5,1.9,11,218.9,651.1,31.7
99,85.5,133.1,5.5,39,94.1,125.5,2.4,9,259.0,650.7,32.2
100,86.5,134.0,5.5,33,90.8,125.2,2.6,9,276.9,650.7,32.2
106,87.9,134.0,5.4,29,88.2,127.7,2.6,8,325.0,650.8,32.2
104,91.6,134.6,5.4,25,95.6,129.9,2.0,8,355.5,650.8,32.2
109,87.3,134.2,5.4,22,94.6,131.6,2.3,9,337.5,651.1,32.3
111,84.3,134.1,5.4,25,96.1,132.8,1.8,9,330.0,651.1,32.3
110,81.7,134.5,5.4,22,96.6,131.3,1.9,8,400.8,651.1,32.2
111,80.6,134.9,5.4,18,97.4,131.7,0.6,8,409.1,651.1,32.2
109,81.1,135.6,5.4,16,93.2,133.8,0.0,8,449.0,651.1,32.2
105,77.6,135.6,5.5,22,94.4,131.8,0.0,8,475.0,651.1,32.2
102,76.6,135.7,5.4,21,102.5,131.2,0.2,9,425.3,651.0,32.4
101,76.5,135.5,5.4,22,97.2,130.6,0.0,10,393.6,651.0,32.4
97,73.7,134.7,5.4,26,97.5,127.0,0.2,11,373.9,650.9,32.5
88,71.0,135.6,5.4,30,94.4,128.0,0.8,11,405.0,650.9,32.5
85,66.2,136.4,5.4,39,93.3,127.7,0.6,11,427.6,650.9,32.5
81,64.3,136.7,5.4,44,91.9,126.8,0.9,11,420.5,650.9,32.5
84,63.7,136.6,5.4,42,95.3,125.9,0.7,11,413.2,650.9,32.5
79,65.8,136.1,5.4,46,90.4,126.8,0.8,12,386.6,650.9,31.9
74,68.0,136.3,5.4,51,93.4,127.1,0.7,12,392.2,650.9,31.9
79,65.2,136.2,5.5,55,95.5,128.5,0.8,12,383.8,650.9,31.9
78,68.1,136.9,5.4,54,98.1,126.5,1.0,12,372.6,650.9,31.9
75,71.3,137.0,5.5,57,97.7,125.9,1.1,12,372.4,650.9,31.9
76,67.4,136.7,5.6,63,94.1,126.4,1.3,12,381.7,650.9,31.9
72,69.6,137.0,5.7,73,93.6,127.5,1.2,14,321.8,651.1,31.5
73,81.0,137.0,5.7,70,96.2,128.5,1.3,14,297.2,651.1,31.5
80,87.1,137.4,5.8,61,101.3,126.6,1.6,13,305.6,651.1,31.4
89,89.7,137.4,5.9,48,104.4,127.2,1.8,13,302.1,651.1,31.4
92,90.3,136.9,6.0,42,98.1,129.7,1.0,13,314.1,651.1,31.4
97,89.7,136.7,6.0,39,100.6,126.2,0.9,13,310.8,651.1,31.4
98,89.6,136.2,6.0,42,96.4,126.6,1.2,13,311.6,651.1,31.4
101,88.4,135.9,6.1,41,97.7,125.3,1.2,13,313.8,650.9,31.5
